Genotype,weight,length,width,ratio,skinThickness,brix,firmness,shape
TC1_001,42.26,33.27,47.36,0.702,3,4,0.64,≥≥¿€«œ¥Ÿ
TC1_002,55.22,37.49,47.54,0.789,5,5.3,0.62,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_003,12.22,24.41,27.69,0.882,3,5.6,0.57,µ’±€¥Ÿ
TC1_004,31.42,32.95,40.33,0.817,5,4.3,0.69,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_005,33.7,35.6,39.82,0.894,5,3.9,0.88,¡˜ªÁ∞¢«¸
TC1_006,58.38,38.8,57.46,0.675,4.2,4.2,0.76,≥≥¿€«œ¥Ÿ
TC1_007,48.28,32.03,52.61,0.609,5,4.7,0.44,≥≥¿€«œ¥Ÿ
TC1_008,7.82,20.5,24.72,0.829,3,4.1,0.4,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_009,14.38,23.1,30.86,0.749,3,4.1,0.63,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_010,12.7,23.95,28.66,0.836,3,3.4,0.74,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_011,87.54,46.96,55.02,0.854,5,4.2,0.62,µ’±€¥Ÿ
TC1_012,50.62,33.28,54.23,0.614,3,4,0.57,≥≥¿€«œ¥Ÿ
TC1_013,52.08,31.61,56.02,0.564,5,5.3,0.43,≥≥¿€«œ¥Ÿ
TC1_014,60.16,39.92,50.34,0.793,5,4.3,0.51,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_015,18,25.52,38.88,0.656,3,4.1,0.6,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_016,45.72,37.38,44.33,0.843,5,4.1,0.74,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_017,11.5,23.64,26.64,0.887,3,4.9,0.52,µ’±€¥Ÿ
TC1_018,126.56,55.03,61.93,0.889,5,4.5,0.68,µ’±€¥Ÿ
TC1_019,56.16,40.62,47.69,0.852,5,3.6,0.6,µ’±€¥Ÿ
TC1_020,59.8,41.21,48.64,0.847,5,3.6,0.74,µ’±€¥Ÿ
TC1_021,52.56,39.2,45.91,0.854,5,3.6,0.73,æ‡∞£≥≥¿€«œ¥Ÿ
TC1_022,48.92,40.31,43.76,0.921,5,3.9,0.76,µ’±€¥Ÿ
TC1_023,28.18,32.48,36.35,0.894,4.2,3.7,0.68,µ’±€¥Ÿ
TC1_024,140.22,49.42,73.68,0.671,5,4.8,0.64,≥≥¿€«œ¥Ÿ
